onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
35.683	0.100	FIXA	1902.8	1321.0	1913.0	1316.2	0.145	4.926	3.330	2.716
35.783	0.033	ISAC	1907.5	1316.2	1855.3	1299.6	0.703	42.159	23.196	23.196
35.817	0.583	FIXA	1855.3	1299.6	1866.1	1287.2	0.211	5.627	1.308	1.684
36.400	0.150	SACC	1866.1	1287.1	2098.3	1320.4	3.009	61.505	27.857	24.791
36.550	0.233	FIXA	2098.3	1320.4	2093.2	1312.8	0.117	5.157	0.780	1.694
36.783	0.100	SACC	2093.2	1312.6	-32768.0	-32768.0	625.384	76.505	15.661	30.748
36.883	0.083	FIXA	-32768.0	-32768.0	-32768.0	-32768.0	0.000	0.000	0.000	0.000
36.967	0.033	SACC	-32768.0	-32768.0	2062.0	721.8	619.821	0.000	0.000	0.000
37.000	0.017	HPSO	2062.0	721.8	2062.0	721.8	0.000	0.000	0.000	0.000
37.017	0.217	FIXA	2034.7	671.8	2024.7	605.8	0.856	46.397	1.480	8.103
37.233	0.167	SACC	2030.7	605.8	1957.1	935.4	4.332	119.695	6.542	28.813
37.400	0.300	FIXA	1956.0	935.4	1949.6	941.6	0.114	8.774	0.840	1.320
37.700	0.100	SACC	1949.6	938.1	1949.4	1314.4	4.827	215.430	16.446	49.469
37.800	0.050	FIXA	1949.4	1314.4	1949.3	1321.1	0.086	5.157	0.077	1.745
37.850	0.167	PURS	1949.3	1325.6	1925.8	1301.0	0.436	12.765	3.708	3.944
38.017	0.350	FIXA	1925.8	1301.0	1925.3	1302.4	0.019	9.313	1.929	2.262
38.367	0.083	SACC	1921.3	1302.4	-32768.0	-32768.0	623.718	108.421	3.079	44.485
38.450	0.050	FIXA	-32768.0	-32768.0	-32768.0	-32768.0	0.000	0.000	0.000	0.000
38.500	0.050	SACC	-32768.0	-32768.0	1981.2	1390.4	625.057	70.117	0.000	23.372
38.550	0.100	FIXA	1985.6	1390.4	1996.5	1393.7	0.146	6.927	2.809	2.923
38.650	0.067	ISAC	1995.6	1389.1	2052.0	1359.0	0.820	28.301	13.675	13.913
38.717	0.267	FIXA	2052.0	1359.0	2075.9	1345.5	0.352	4.635	1.924	2.154
38.983	0.067	SACC	2078.4	1344.7	1969.9	1309.4	1.464	49.580	20.964	22.877
39.050	0.683	FIXA	1969.9	1309.4	2004.5	1301.1	0.456	6.157	1.849	2.242
39.733	0.033	SACC	2010.6	1304.3	2133.0	1375.4	1.816	108.948	57.125	57.125
39.767	0.283	FIXA	2133.0	1375.4	2140.3	1375.3	0.094	4.926	1.144	1.447
40.050	0.050	ISAC	2135.8	1373.7	2064.3	1349.2	0.970	34.019	24.613	20.769
40.100	0.450	FIXA	2063.9	1349.2	2071.7	1327.0	0.302	5.466	1.616	1.678
40.550	0.117	SACC	2071.2	1316.8	-32768.0	-32768.0	625.220	343.138	25.572	108.331
40.667	0.317	FIXA	-32768.0	-32768.0	2062.3	1320.4	625.171	234.594	0.539	15.019
40.983	0.083	ISAC	2062.3	1323.1	2149.0	1380.1	1.331	65.433	7.959	17.501
41.067	0.150	FIXA	2149.0	1380.1	2153.6	1378.7	0.062	5.623	0.539	1.433
41.217	0.100	SACC	2156.9	1385.4	-32768.0	-32768.0	626.621	45.170	9.939	18.369
41.317	0.050	FIXA	-32768.0	-32768.0	-32768.0	-32768.0	0.000	0.000	0.000	0.000
41.367	0.067	SACC	-32768.0	-32768.0	2127.2	1323.2	625.791	145.621	8.788	40.799
41.433	0.017	LPSO	2122.5	1323.2	2122.5	1323.2	0.000	3.617	3.617	3.617
41.450	0.100	FIXA	2122.5	1334.5	2123.4	1335.1	0.014	8.697	2.194	2.899
41.550	0.050	ISAC	2124.7	1335.4	2074.0	1309.8	0.729	43.714	1.027	14.914
41.600	0.283	FIXA	2074.0	1309.8	2091.6	1309.4	0.226	6.080	1.539	1.919
41.883	0.050	ISAC	2092.6	1314.1	2128.8	1325.3	0.486	23.949	8.777	12.142
