subject_id,game_difficulty,world_number,experience,game_status,trial,score,time,t_end,duration,x_start,y_start,x_end,y_end,amplitude,angle,sacc_x_end,sacc_y_end,player_x_field,player_y_field,amplitude_deg,sacc_duration_calculated,diff_in_calculation
PI10MA,easy,6,3,timed_out,28.0,17521.0,6058.0,6138.0,80.0,1070.0999755859375,426.7999877929688,1025.199951171875,421.0999755859375,45.26038368754417,-3.0153191279793954,1025.199951171875,421.0999755859375,8,4,0.7537121729045005,22.6581667803899,57.341833219610095
PI10MA,easy,6,3,timed_out,28.0,17521.0,6154.0,6362.0,208.0,1047.199951171875,407.199951171875,1033.0999755859375,414.699951171875,15.970576430549823,2.6527395813693304,1033.0999755859375,414.699951171875,8,4,0.26596826635024284,21.585130185970534,186.41486981402946
PI10MA,easy,6,3,timed_out,28.0,17521.0,7847.0,7897.0,50.0,1213.4000244140625,460.2999877929688,1208.5,462.9000244140625,5.547110030406541,2.653752446129797,1208.5,462.9000244140625,9,4,0.09238016944745141,21.203236372784392,28.796763627215608
PI10MA,easy,6,3,timed_out,28.0,17521.0,12430.0,12580.0,150.0,2019.0999755859373,762.5,2024.5,760.7000122070312,5.692119089347131,-0.32174716356611344,2024.5,760.7000122070312,13,7,0.09479510934015885,21.20854924054835,128.79145075945166
PI10MA,easy,6,3,timed_out,28.0,17521.0,20834.0,20931.0,97.0,1625.4000244140625,814.9000244140625,1535.9000244140625,840.7000122070312,93.14445431756705,2.860933590898516,1535.9000244140625,840.7000122070312,13,8,1.5508267260414408,24.41181879729117,72.58818120270882
PI10MA,easy,6,3,timed_out,28.0,17521.0,23090.0,23234.0,144.0,1642.0999755859375,956.7999877929688,1586.800048828125,949.3999938964844,55.79284729324569,-3.008567290394089,1586.800048828125,949.3999938964844,13,9,0.9290793527636433,23.043974576080014,120.95602542391998
PI10MA,easy,6,3,timed_out,28.0,17521.0,31998.0,32164.0,166.0,2531.300048828125,308.5999755859375,2516.199951171875,312.4000244140625,15.570912636207966,2.895054848874604,2516.199951171875,312.4000244140625,12,11,0.25931250055594957,21.570487501223088,144.42951249877692
PI10MA,easy,6,3,timed_out,28.0,17521.0,32831.0,33048.0,217.0,3270.0,61.5,3270.0,70.800048828125,9.300048828125,1.5707963267948966,3270.0,70.800048828125,12,11,0.15488042129379007,21.34073692684634,195.65926307315365
PI10MA,easy,6,3,timed_out,28.0,17521.0,35214.0,35398.0,184.0,2161.39990234375,1351.3000030517578,2099.300048828125,1404.7000007629397,81.90208521287056,2.431376044387983,2099.300048828125,1404.7000007629397,13,11,1.3637202461768059,24.000184541588972,159.99981545841104
PI10MA,easy,6,3,timed_out,28.0,17521.0,35714.0,35815.0,101.0,1989.699951171875,1530.599998474121,1852.0999755859373,1986.7999877929688,476.499930257883,1.8637405745800864,1852.0999755859373,1986.7999877929688,13,11,7.885351483553233,38.34777326381712,62.65222673618288
PI10MA,easy,6,3,timed_out,28.0,17521.0,36348.0,36631.0,283.0,218.3000030517578,1534.3000030517578,-511.1000061035156,853.7000122070312,997.6175223468937,-2.3907906230290235,-511.1000061035156,853.7000122070312,14,11,16.170598809009526,56.57531737982096,226.42468262017906
PI10MA,easy,6,3,timed_out,28.0,17521.0,36648.0,36898.0,250.0,-510.7999877929688,856.4000244140625,-1023.4000244140624,1301.8999938964844,679.1384397549481,2.4261148362537375,-1023.4000244140624,1301.8999938964844,14,11,11.166643781714038,45.56661631977089,204.4333836802291
PI10MA,easy,7,3,timed_out,22.0,17521.0,411.0,506.0,95.0,1246.5999755859375,689.9000244140625,1253.800048828125,695.5,9.121446226117898,0.6610361263657227,1253.800048828125,695.5,9,0,0.15190603741068961,21.334193282303517,73.66580671769648
PI10MA,easy,7,3,timed_out,22.0,17521.0,9172.0,9289.0,117.0,1252.0999755859375,521.4000244140625,1213.9000244140625,504.0999755859375,41.93480605641504,-2.7163451066055098,1213.9000244140625,504.0999755859375,10,5,0.6983376915740455,22.5363429214629,94.4636570785371
PI10MA,easy,7,3,timed_out,22.0,17521.0,10989.0,11172.0,183.0,1494.0999755859375,586.7999877929688,1443.0999755859375,555.4000244140625,59.89121555116955,-2.5897194212400327,1443.0999755859375,555.4000244140625,11,5,0.9973133066113206,23.194089274544904,159.8059107254551
PI10MA,easy,7,3,timed_out,22.0,17521.0,11189.0,11322.0,133.0,1444.199951171875,556.2000122070312,1355.699951171875,514.0,98.04637183635907,-2.696647130962282,1355.699951171875,514.0,11,5,1.6323991002076428,24.591278020456816,108.40872197954319
PI10MA,easy,7,3,timed_out,22.0,17521.0,12855.0,13022.0,167.0,1520.5999755859375,582.9000244140625,1512.199951171875,650.2000122070312,67.82218491828901,1.6949688186117244,1512.199951171875,650.2000122070312,12,6,1.1293482370752561,23.484566121565564,143.51543387843444
PI10MA,easy,7,3,timed_out,22.0,17521.0,13039.0,13205.0,166.0,1509.199951171875,649.2000122070312,1511.800048828125,643.7999877929688,5.993393987926022,-1.122060069025654,1511.800048828125,643.7999877929688,12,6,0.09981245528384972,21.21958740162447,144.78041259837553
PI10MA,easy,7,3,timed_out,22.0,17521.0,18405.0,18605.0,200.0,1289.9000244140625,891.5,1280.800048828125,888.9000244140625,9.464112674314988,-2.863294766292981,1280.800048828125,888.9000244140625,10,9,0.15761268119990213,21.346747898639784,178.6532521013602
