subject_id,game_difficulty,world_number,0
AL09OL,easy,0,0.7248565388100272
AL09OL,easy,1,0.9172716602182324
AL09OL,easy,2,0.9423231635621017
AL09OL,easy,3,0.9492214508947092
AL09OL,easy,4,0.9150048896636762
AL09OL,easy,5,0.8802327667974057
AL09OL,easy,6,0.972948213612114
AL09OL,easy,7,1.0
AL09OL,easy,8,0.8704784767308636
AL09OL,easy,9,0.981922737495374
AL09OL,easy,10,0.9325143413789371
AL09OL,easy,11,0.9307923771313942
AL09OL,easy,12,0.9248613639249884
AL09OL,easy,13,0.7383808514199631
AL09OL,easy,14,0.762137504072988
AL09OL,easy,15,1.0
AL09OL,easy,16,0.7599892732636095
AL09OL,easy,17,0.9726428920371275
AL09OL,easy,18,0.8690640848317197
AL09OL,easy,19,0.9778056274256145
AL09OL,hard,0,0.730964261084743
AL09OL,hard,1,0.9350124378109452
AL09OL,hard,2,0.9149887101655066
AL09OL,hard,3,0.9275327644416088
AL09OL,hard,4,0.8686609686609686
AL09OL,hard,5,1.0
AL09OL,hard,6,0.8510286119650036
AL09OL,hard,7,0.5684046345811051
AL09OL,hard,8,0.9216201620162017
AL09OL,hard,9,0.9220259913362212
AL09OL,hard,10,0.8390675781687773
AL09OL,hard,11,0.8700305810397554
AL09OL,hard,12,0.8385826771653543
AL09OL,hard,13,0.7348767737117252
AL09OL,hard,14,0.8497165768007743
AL09OL,hard,15,0.8070756307673442
AL09OL,hard,16,0.6370705244122966
AL09OL,hard,17,0.6579370754379692
AL09OL,hard,18,0.8001155786712898
AL09OL,hard,19,0.4949230769230769
AL09OL,normal,0,0.8794272649771371
AL09OL,normal,1,0.8973636773321316
AL09OL,normal,2,0.9140851109443671
AL09OL,normal,3,0.9772178115291681
AL09OL,normal,4,0.9518846621504256
AL09OL,normal,5,0.9547857843671645
AL09OL,normal,6,0.9750880281690141
AL09OL,normal,7,0.7047713717693836
AL09OL,normal,8,0.9891241392625008
AL09OL,normal,9,0.9916540975364505
AL09OL,normal,10,0.9019734192509061
AL09OL,normal,11,0.8800477580260015
AL09OL,normal,12,0.9506244433858708
AL09OL,normal,13,0.8694295900178253
AL09OL,normal,14,0.9397264829363595
AL09OL,normal,15,0.8773584905660378
AL09OL,normal,16,0.9046852815901562
AL09OL,normal,17,0.9146123615576992
AL09OL,normal,18,0.9499658999317999
AL09OL,normal,19,0.911682892906815
AN06AN,easy,0,0.8819040351044548
AN06AN,easy,1,0.9798555577077396
AN06AN,easy,2,0.9264793605344787
AN06AN,easy,3,0.9289006382941719
AN06AN,easy,4,0.9017409968995945
AN06AN,easy,5,0.9020416033938342
AN06AN,easy,6,0.6419245314268364
AN06AN,easy,7,0.844361508977204
AN06AN,easy,8,0.9778865325357985
AN06AN,easy,9,0.9321859853774748
AN06AN,easy,10,0.9477957184325109
AN06AN,easy,11,0.8955009213897254
AN06AN,easy,12,0.8109510086455332
AN06AN,easy,13,0.9751755265797393
AN06AN,easy,14,0.8956502636203867
AN06AN,easy,15,0.9928534616045352
AN06AN,easy,16,0.721074784651527
AN06AN,easy,17,0.8993790572960768
AN06AN,easy,18,0.9537690977226867
AN06AN,easy,19,0.990710868839693
AN06AN,hard,0,0.9374787342633549
AN06AN,hard,1,0.8669423716623214
AN06AN,hard,2,0.8546454527597721
AN06AN,hard,3,0.8997720254167407
AN06AN,hard,4,0.9502117942947912
AN06AN,hard,5,0.8591094493541809
AN06AN,hard,6,0.7644735049720747
AN06AN,hard,7,0.9528764296156161
AN06AN,hard,8,0.9340920379208327
AN06AN,hard,9,0.7688057264849931
AN06AN,hard,10,0.8704015749345168
AN06AN,hard,11,0.9291317284284555
AN06AN,hard,12,0.877900627900628
AN06AN,hard,13,0.9415511879962564
AN06AN,hard,14,0.7116052814454482
AN06AN,hard,15,0.9703719912472648
AN06AN,hard,16,0.7093469910371318
AN06AN,hard,17,0.8399612614248532
AN06AN,hard,18,0.9148993505618583
AN06AN,hard,19,0.8890449438202247
AN06AN,normal,0,0.8504162812210916
AN06AN,normal,1,0.5940099833610649
AN06AN,normal,2,0.7473273596761821
AN06AN,normal,3,0.8651064948724692
AN06AN,normal,4,0.9344625665795481
AN06AN,normal,5,0.958175598631699
AN06AN,normal,6,0.577286779414439
AN06AN,normal,7,0.9274053682037164
AN06AN,normal,8,0.8855355855751121
AN06AN,normal,9,0.9513469144093725
AN06AN,normal,10,0.8533373185630756
AN06AN,normal,11,0.8420203649561447
AN06AN,normal,12,0.8918796505985118
AN06AN,normal,13,0.9330495857068877
