subject_id,game_difficulty,world_number,player_x_field,player_y_field,score,weighted_fix_distance_euclidean,weighted_fix_distance_manhattan
AL09OL,easy,3,11.0,12.0,15380.0,301.265207128826,2.7357222844344906
AL09OL,easy,3,12.0,12.0,15380.0,150.73729892396776,1.2211838006230529
AL09OL,easy,3,13.0,12.0,15380.0,398.79110330210614,3.6346998535871156
AL09OL,easy,3,14.0,12.0,15380.0,287.1442815171047,2.6833910034602075
AL09OL,easy,3,15.0,12.0,15380.0,227.2792470119946,2.889928453494772
AL09OL,easy,3,16.0,12.0,15380.0,194.92268426897266,2.573254670599803
AL09OL,easy,3,16.0,13.0,15380.0,102.1372649572814,1.0
AL09OL,easy,4,9.0,0.0,15380.0,556.3052660896027,6.9605263157894735
AL09OL,easy,4,10.0,0.0,15380.0,264.4636333767942,3.0
AL09OL,easy,4,8.0,0.0,15380.0,293.62193284151715,3.0
AL09OL,easy,4,7.0,0.0,15380.0,88.6084720186481,1.0
AL09OL,easy,4,6.0,0.0,15380.0,197.84460710257193,2.0
AL09OL,easy,4,5.0,0.0,15380.0,229.70979369234982,2.77027027027027
AL09OL,easy,4,5.0,1.0,15380.0,349.9723891782095,4.6
AL09OL,easy,4,5.0,2.0,15380.0,203.16366928197525,3.0
AL09OL,easy,4,5.0,3.0,15380.0,183.8439584957981,2.4583333333333335
AL09OL,easy,4,5.0,4.0,15380.0,177.06971389569225,2.0
AL09OL,easy,4,5.0,5.0,15380.0,242.26290828048113,3.0
AL09OL,easy,4,6.0,5.0,15380.0,307.55436917722363,4.0
AL09OL,easy,4,7.0,5.0,15380.0,362.1383730635533,4.0
AL09OL,easy,4,7.0,6.0,15380.0,262.1629480878226,4.0
AL09OL,easy,4,7.0,7.0,15380.0,281.7113374573759,3.6706586826347305
AL09OL,easy,4,7.0,8.0,15380.0,191.58158462884052,2.839034205231388
AL09OL,easy,4,7.0,9.0,15380.0,309.02413504851523,4.0
AL09OL,easy,4,8.0,10.0,15380.0,214.0508408093139,3.0
AL09OL,easy,4,9.0,10.0,15380.0,238.69532620167772,2.926328502415459
AL09OL,easy,4,9.0,11.0,15380.0,154.26970326219882,2.0
AL09OL,easy,4,9.0,12.0,15380.0,187.27482464903028,2.3377535101404057
AL09OL,easy,4,10.0,12.0,15380.0,157.26986241302902,2.0
AL09OL,easy,4,10.0,13.0,15380.0,125.07464890099858,0.8767123287671232
AL09OL,easy,4,9.0,13.0,15380.0,59.046003543795294,0.3968521641371557
AL09OL,easy,4,8.0,13.0,15380.0,102.02413363773896,0.6557377049180327
AL09OL,easy,4,7.0,13.0,15380.0,232.39758210967972,2.5597210113339144
AL09OL,easy,4,6.0,13.0,15380.0,127.4951538713407,1.324308416715715
AL09OL,easy,4,5.0,13.0,15380.0,133.75698965413673,1.2505712109672507
AL09OL,easy,4,4.0,13.0,15380.0,78.74972847796023,1.0493537015276146
AL09OL,easy,5,9.0,0.0,15380.0,564.5001711092318,6.536585365853658
AL09OL,easy,5,8.0,0.0,15380.0,402.6985655748153,4.830508474576271
AL09OL,easy,5,7.0,0.0,15380.0,487.8516428732245,6.0
AL09OL,easy,5,7.0,1.0,15380.0,300.07626282454095,3.0
AL09OL,easy,5,6.0,3.0,15380.0,259.1356831270429,3.392857142857143
AL09OL,easy,5,6.0,4.0,15380.0,242.55343389232306,3.0
AL09OL,easy,5,6.0,5.0,15380.0,192.46308802555336,1.7173913043478262
AL09OL,easy,5,7.0,5.0,15380.0,280.47063968283,3.6363636363636362
AL09OL,easy,5,7.0,7.0,15380.0,152.06609727172395,1.0
AL09OL,easy,5,7.0,8.0,15380.0,94.12570535302098,1.0
AL09OL,easy,5,7.0,9.0,15380.0,129.39335609695428,1.7093023255813953
AL09OL,easy,5,7.0,10.0,15380.0,453.26923538173105,4.259865971705138
AL09OL,easy,5,8.0,10.0,15380.0,260.9822377414245,3.0618556701030926
AL09OL,easy,5,9.0,10.0,15380.0,164.11030708397567,2.148936170212766
AL09OL,easy,5,9.0,11.0,15380.0,366.1394110608705,3.2962962962962963
AL09OL,easy,5,8.0,11.0,15380.0,376.5905615406456,2.7333333333333334
AL09OL,easy,5,7.0,11.0,15380.0,263.26224405310325,2.532258064516129
AL09OL,easy,5,6.0,11.0,15380.0,245.2377524487615,2.675
AL09OL,easy,5,5.0,11.0,15380.0,348.4042331155647,3.0943396226415096
